Nama;Kegiatan;Kecamatan;Alamat;kategori;lat;lng
Vermak Pardi;;Banjarsari;Bibis Baru;Fashion;-7.552808333333333;110.83583055555556
Toko Sumiyati;;Laweyan;Pasar Kleco;Lain-lain;-7.557289416399413;110.77961833983358
Toko Pakaian Doa Ibu;;Laweyan;Pasar Kleco;Fashion;-7.557285887500276;110.77962169023438
Toko 9;;Laweyan;Pasar Kleco;Lain-lain;-7.557282060822365;110.77961563025428
Bakso Pak Jiman;;Laweyan;Karangasem;Kuliner;-7.557266624318799;110.77959116675719
Salon Pramestri;;Banjarsari;Bibis Baru;Lain-lain;-7.5524944722222225;110.83638858333333
Toko Kelontong Bu Sri Darso;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5468578;110.8209162
Toko Sayur Bu Saryanti;;Banjarsari;Pasar Nongko;Lain-lain;-7.55851353466747;110.81493324415021
Toko Pakaian Uun;;Banjarsari;Pasar Nongko;Fashion;-7.558511805131069;110.81493767357622
Toko Bumbu Dapur Bu Jumiati;;Banjarsari;Pasar Nusukan;Lain-lain;-7.547091916666667;110.82170102777778
Pedagang Pisang Bu Wartini;;Banjarsari;Pasar Nongko;Lain-lain;-7.558515527244722;110.81493923235026
Warung Sembako Pak Manto;;Banjarsari;Pasar Nongko;Lain-lain;-7.558514322494039;110.81495117314167
Warung Es;;Pasar Kliwon;Harjodipuran ;Kuliner;-7.5872504;110.8271937
Toko Kelontong Pak Jono;;Pasar Kliwon;Gabudan;Lain-lain;-7.588886111111111;110.82904722222223
Kios Ayam Bu Sugiyatmi;;Pasar Kliwon;Gurawan;Lain-lain;-7.5834280655280555;110.82645395475932
Karak Ayu Karsiati;;Pasar Kliwon;Kusumodilagan ;Kuliner;-7.5896009;110.8255411
Warung Kelontong Bu Widodo;;Pasar Kliwon;Gabudan;Lain-lain;-7.588802777777778;110.82946944444444
Snm Kids (Agen Baju Anak);;Pasar Kliwon;Sangkrah ;Fashion;-7.579035;110.839755
Warung Makan;;Pasar Kliwon;Sangkrah ;Kuliner;-7.5784883;110.8402233
Kios Ayam Mb Sutarni;;Pasar Kliwon;Pasar Sangkrah;Lain-lain;-7.57672;110.8368167
Kios Ayam Mbak Tika;;Pasar Kliwon;Pasar Sangkrah;Lain-lain;-7.5766317;110.8384967
Jualan /Warung Klontong;;Pasar Kliwon;Dadapan Sangkrah;Lain-lain;-7.5790583;110.8417979
Sayuran Until;;Jebres;Genengan ;Lain-lain;-7.5438325;110.8363057
Soto Sarmi;;Jebres;Genengan ;Kuliner;-7.5440425;110.8361189
Ayam Bakar Agung Jaya;;Pasar Kliwon;Sangkrah;Kuliner;-7.5775783;110.8395188
Bakso Kuah;;Pasar Kliwon;Sangkrah;Kuliner;-7.5777954;110.8394422
Karak Krupuk Pakman;;Pasar Kliwon;Sangkrah;Kuliner;-7.5794681;110.8371383
Nayla Olashop;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5790588;110.8417961
Warung Kelontong;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5790593;110.8418031
Warung Sembako Kecil;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5789671;110.8411666
Warung Kelontong Gemilang;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5779967;110.8396767
Penjahit;;Pasar Kliwon;Sangkrah;Fashion;-7.5783133;110.8394333
Konveksi;;Pasar Kliwon;Sangkrah;Fashion;-7.5778346;110.839406
Warung Kelontong;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5769142;110.8413234
Penjahit;;Pasar Kliwon;Sangkrah;Fashion;-7.5790748;110.8397096
Koran(Doel Agency);;Pasar Kliwon;Sangkrah;Lain-lain;-7.5781016;110.838524
Warung Umi Kartini;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5801167;110.840045
Klitikan Barang Bekas;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5775917;110.8394767
Warung Makan Bu Marsi;;Banjarsari;Jl.S.Parman;Kuliner;-7.564369;110.8233462
Warung Kelontong;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5769771;110.8416076
Ud Berkah Abadi;;Jebres;Pucangsawit;Lain-lain;-7.5689497;110.8521026
Jahit Bu Parmi;;Jebres;Pucangsawit;Fashion;-7.5678347;110.8535545
Sangkar Burung Yudi;;Jebres;Pucangsawit;Lain-lain;-7.5720877;110.8503947
Laundry Dewe;;Jebres;Pucangsawit;Lain-lain;-7.5721109;110.8500653
Ayam Goreng Dan Geprek Barokah;;Jebres;Pucangsawit;Kuliner;-7.5673535;110.8533025
Konveksi Marmar;;Jebres;Pucangsawit;Fashion;-7.5668608;110.8530209
Toko Bagus;;Laweyan;Blag-Bligan;Lain-lain;-7.562737072233323;110.7852845038433
Parti Es Buah Dan Makanan;;Jebres;Pucangsawit;Kuliner;-7.5723699;110.8504663
Tiwul Mbah Wanto;;Jebres;Pucangsawit;Kuliner;-7.5720858;110.850104
Kelontong Trisnani;;Banjarsari;Bibis Baru;Lain-lain;-7.553629;110.8360046
Peyek Bu Karsini;;Banjarsari;Bibis Baru;Kuliner;-7.5536783;110.8358537
Bengkel Cat Sepeda Motor Rizky Paint;;Jebres;Pucangsawit;Lain-lain;-7.572439;110.8502389
Wedangan Bu Pami;;Banjarsari;Bibis Baru;Kuliner;-7.5535476;110.8357295
Kasmiyati Rambak;;Banjarsari;Bibis Baru;Kuliner;-7.5535895;110.8361798
Sultan;;Jebres;Pucangsawit;Lain-lain;-7.5720841;110.8500755
Warung Sate Kere Bu Marni;;Jebres;Pucangsawit;Kuliner;-7.5699842;110.8497562
Jajan Meal Ihir;;Banjarsari;Bibis Baru;Kuliner;-7.5527372;110.835888
Martabak Goreng;;Banjarsari;Tapen;Kuliner;-7.5438257;110.8126374
Sosis Goreng Mbak Dewi;;Banjarsari;Tapen;Kuliner;-7.5444589;110.8114554
Warung Kelontong Sederhana;;Banjarsari;Tapen;Lain-lain;-7.5443166;110.8114329
Warung Kelontong Kris;;Banjarsari;Bibis Baru;Lain-lain;-7.5520323;110.8351276
Wedangan Pak Suko;;Banjarsari;Bibis Baru;Kuliner;-7.5524845;110.8355126
Vina Laundry;;Banjarsari;Bibis Luhur;Lain-lain;-7.5499577;110.8337536
Toko Bambang;;Jebres;Jln Prof Wz Yohanes Barat Stasiun Jebres ;Lain-lain;-7.5623399;110.8387385
Jasa Jahit Pak Warsito;;Banjarsari;Bibis Baru;Fashion;-7.5524424;110.8345365
Angkringan Es Om Otong;;Banjarsari;Bibis Baru;Kuliner;-7.5498048;110.8338714
Wedangan Bu Diyah;;Banjarsari;Bibis Baru;Kuliner;-7.5524026;110.8351109
Warung Makan Bu Suliyem;;Banjarsari;Bibis Baru;Kuliner;-7.5530073;110.8339197
Bintang Ac;;Banjarsari;Tapen;Lain-lain;-7.5453755;110.8127646
Toko Endang;;Banjarsari;Bibis Baru;Lain-lain;-7.551725;110.8341274
Toko Vienka;;Banjarsari;Bibis Baru;Lain-lain;-7.5519631;110.8343322
Sakajo;;Jebres;Kebonan;Lain-lain;-7.570334323688941;110.81162419180461
Selat Dan Sop Pak Untung;;Serengan ;Teposanan;Kuliner;-7.5705837;110.8134258
Warung Rhea;;Jebres;Kebonan;Lain-lain;-7.5704556;110.8128275
Toko Berkah;;Jebres;Kebonan;Lain-lain;-7.570361;110.8119222
Warung Bu Darni;;Banjarsari;Priyobadan;Lain-lain;-7.566027576110852;110.81447881656774
Masakan Padang Ampera;;Banjarsari;Priyonadan;Kuliner;-7.5660684;110.814401
Toko Kelontong Wildan;;Laweyan;Jl Seruni 1 No 9;Lain-lain;-7.5602683;110.8094787
Anindhita Food & Drink;;Laweyan;Flamboyan Dalam;Kuliner;-7.561871;110.8013117
Warung Soto Daging Sapi Sor Pelem;;Pasar Kliwon;Jalan Untung Suropati;Kuliner;-7.578352777777778;110.83616944444445
Toko Anyar;;Laweyan;Jl Seruni 3 ;Lain-lain;-7.5604104;110.808193
Suradi;;Banjarsari;Banyuanyar;Lain-lain;-7.539875;110.811375
Penjahit Bu Sri Kiswanti;;Jebres;;Fashion;-7.5479640833333335;110.86666105555555
Warung Bu Nah;;Pasar Kliwon;Kedunglumbu Rt 01 Rw 05;Lain-lain;-7.5756022;110.8321784
"Warung ""Dhe Repto""";;Banjarsari;Jl. Gremet;Kuliner;-7.5577118;110.8012288
Alfan Nugroho;;Jebres;Kepunton Rt 03 Rw 03 Tegalharjo Jebres Surakarta;Lain-lain;-7.5604728;110.8334308
Surya Helm;;Pasar Kliwon;Kedunglumbu Rt 01 Rw 05 ;Lain-lain;-7.5756316;110.8322337
Warung Zia Snack;;Pasar Kliwon;Kedunglumbu Rt 01 Rw 01;Kuliner;-7.576986111111111;110.83598055555555
Toko Klontong Tri Winarni;;Jebres;Kepunton Rt 01 Rw 03 Tegalharjo, Jebres, Surakarta;Lain-lain;-7.5605174;110.8351359
Warung Makan Aldi;;Jebres;Kepunton Rt 07 Rw 03 Tegalharjo Jebres Surakarta;Kuliner;-7.5613531;110.835527
Rumah Makan;;Pasar Kliwon;Sewu;Kuliner;-7.571326599722222;110.84199999972222
Kostum Wayang Eko;;Laweyan;Begalon Rt008 Rw003;Lain-lain;-7.5748063;110.8064417
Cilok Sendang Roso;;Pasar Kliwon;Tegal Rejo;Kuliner;-7.561674;110.8409576
Maharani Guritno Putri;;Pasar Kliwon;Jln Sasonomulyo Rt 002 Rw 002 Baluwarti Pasar Kliwon Solo ;Lain-lain;-7.5764254;110.8255597
Toko Kecil;;Jebres;Kepunton Rt 04 Rw 03 Tegalharjo, Jebres, Surakarta;Lain-lain;-7.560435;110.8346318
Danan Jaya Laundry;;Banjarsari;Gambirsari;Lain-lain;-7.5444837;110.8280585
Intan Ratnasari;;Jebres;Kepunton Rt 09 Rw 03 Tegalharjo Jebres Surakarta;Lain-lain;-7.5612026;110.8348742
Lotek Bu Kamdani;;Pasar Kliwon;Tegal Rejo;Kuliner;-7.5616265;110.8406323
Mainan Dan Snack;;Jebres;Pasar Tanggul;Kuliner;-7.571455;110.84097288888888
Ayam Potong Berkah Jaya;;Serengan ;Danukusuman;Lain-lain;-7.586071944444445;110.82191466666667
Warung Mbak Ninil;;Pasar Kliwon;Semanggi;Lain-lain;-7.5857610555555555;110.8383636388889
Warung Mbok E;;Jebres;Kepunton Rt 04 Rw 03 Tegalharjo, Jebres, Surakarta;Lain-lain;-7.560484;110.8346198
Snack Dan Nasi Box D Mrica;;Jebres;Kepunton Rt 07 Rw 03 Tegalharjo, Jebres, Surakarta;Kuliner;-7.5611583;110.835409
Pengrajin Sangkar Burung;;Jebres;Kepunton Rt 01 Rw 03 Tegalharjo, Jebres, Surakarta;Lain-lain;-7.5601619;110.8348794
Warung Mie Ayam Dan Bakso Pak Sabar 354;;Pasar Kliwon;Jalan Untung Suropati Kedunglumbu;Kuliner;-7.578391666666667;110.83625
Warung Soto Mbak Blong;;Pasar Kliwon;Jl.Sasonomulyo Rt 002 Rw 001 Baluwarti ;Kuliner;-7.5764225;110.8255584
Gudeg Stabelan Mbok Nyamik;;Jebres;Jl. Abdul Muis No. 42;Kuliner;-7.5625817;110.8288827
Alle.Str;;Pasar Kliwon;Tegal Rejo;Lain-lain;-7.56062075;110.84132383333333
Warung Mb Hartini;;Pasar Kliwon;Mangkuyudan Rt 004 Rw 001;Lain-lain;-7.5769018;110.8253714
Ayam Geprek Pawon Mak'E;;Pasar Kliwon;Jl.Sasonomulyo Rt 002 Rw 002 Baluwarti Pasar Kliwon Solo ;Kuliner;-7.57643;110.8255524
Kripik Tempe Sumber Agung;;Jebres;Petoran;Kuliner;-7.5629438888888885;110.84765625
Siska Bakery Dan Cake;;Jebres;Ngoresan;Kuliner;-7.553734777777778;110.86067197222222
Soto Sapi Rempah Mbak Tri;;Jebres;Ngoresan;Kuliner;-7.5525598333333335;110.86077880555555
Warung Bu Lami;;Pasar Kliwon;Mangkuyudan Rt 04 Rw 01;Lain-lain;-7.5767606;110.8252927
Loundry Twin;;Pasar Kliwon;Tegal Rejo;Lain-lain;-7.5617772;110.8404458
Penjahit Busana Taylor;;Jebres;Kepatihan Wetan Jl Sangihe Kios No 2;Fashion;-7.563802;110.8318776
Kos Mami;;Jebres;Jl Biak ;Lain-lain;-7.562808;110.8317122
Warung Kelontong Sri Sunarni;;Jebres;Kepatihan Kulon;Lain-lain;-7.5617677;110.8297857
Sop Matahari Cici;;Jebres;Kepunton Rt 07 Rw 03 Tegalharjo, Jebres, Surakarta;Kuliner;-7.5611497;110.8354612
Bengkel Motor;;Banjarsari;Jalan Bone Timur 1, Margomulyo ;Lain-lain;-7.5413264;110.8107379
Pengrajin Popor Mas Rudi;;Jebres;Jl Sangihe No 13;Kriya;-7.5639847;110.8331944
Warung Es Mbah Citro;;Laweyan;Purwonegaran ;Kuliner;-7.5658999;110.8133442
Mie Ayam Pak Tukino;;Banjarsari;Jalan Bone Timur 1, Margomulyo ;Kuliner;-7.5413366;110.810505
Bogiyat;;Jebres;Kepunton Rt 04 Rw 03 Tegalharjo, Jebres, Surakarta;Lain-lain;-7.5604914;110.8346246
Wajik Besek;;Laweyan;Panularan Rt002 Rw001;Kriya;-7.572967;110.804381
Santoso;;Laweyan;Begalon Rt003 Rw003;Lain-lain;-7.5746607;110.8063221
Aulia Collection Batik Solo Dan Pulsa;;Laweyan;Purwonegaran;Fashion;-7.5660599;110.8134427
Kirana Rempah Soap;;Laweyan;Purwonegaran;Lain-lain;-7.5662743;110.813423
Yuans Cake;;Serengan ;Teposanan;Kuliner;-7.56934655830969;110.81521122726687
Warung Sembako Agustin;;Banjarsari;Dukuhan Nayu Rt 03 Rw 08 Joglo Banjarsari Solo Jateng;Lain-lain;-7.546574;110.8291358
Kroket Dan Risol Mbak Tata;;Serengan ;Teposanan;Kuliner;-7.571072936996418;110.81593466932961
Sulastri;;Jebres;Kepunton Rt 01 Rw 03 Tegalharjo, Jebres, Surakarta;Lain-lain;-7.5596164;110.834986
Warung Kelontong Bu Mamik;;Banjarsari;Priyobadan;Lain-lain;-7.5671423;110.8168228
Kantin Pedalangan;;Jebres;Kepatihan Wetan;Kuliner;-7.562409833333334;110.83233641666666
Om Pink Pancing;;Jebres;Kepatihan Kulon;Lain-lain;-7.562381;110.830635
Warung Makan Mbak Berlin;;Laweyan;Jalan Melati;Kuliner;-7.563644;110.8019963
Dr Laundry;;Banjarsari;Sumpingan Rt 04 /07 Kadipiro Surakarta;Lain-lain;-7.536838;110.8097806
Salon Rendriana;;Pasar Kliwon;Semanggi;Lain-lain;-7.582357388888889;110.83209988888889
Karak Bude Wanti;;Jebres;Petoran;Kuliner;-7.563467;110.84665677777778
Warung Sayur;;Pasar Kliwon;Kp Sewu;Lain-lain;-7.5748233;110.8432616
Kelontong;;Pasar Kliwon;Kp Sewu;Lain-lain;-7.574616599722222;110.8433483
Putri Accesoris;;Jebres;Jalan Tambora Selatan Iv Rt 4 Rw 22;Kriya;-7.535602;110.840715
Barang Antik Pak Yusuf;;Serengan ;Teposanan ;Lain-lain;-7.5697681;110.8153057
Toko Lina;;Laweyan;Begalon Rt006 Rw003;Lain-lain;-7.574735;110.8063511
Maya Seluller;;Laweyan;Begalon Rt004 Rw008;Digital;-7.5747002;110.8063357
Es Degan Pak Muklis;;Laweyan;Panularan;Kuliner;-7.5746695;110.8063258
Bolu Kukus Bukit Rasa;;Jebres;Gulon;Kuliner;-7.5482376;110.8653165
Slondok Singkong Mbak Win;;Jebres;Ngoresan;Kuliner;-7.552869777777778;110.86125180555555
Es Degan Pak Rony;;Jebres;Gulon;Kuliner;-7.550855;110.8644152
Warung Makan Bu Warsi;;Jebres;Ngoresan ;Kuliner;-7.5520026;110.8611593
Bubur Kacang Ijo Pak Ari;;Pasar Kliwon;Tegal Rejo;Kuliner;-7.5623149722222225;110.84237669444444
Angkringan Sido Mampir;;Jebres;Gulon ;Kuliner;-7.5492347;110.8637203
Warung Soto Lumayan;;Jebres;Jl Pratanggapati;Kuliner;-7.5617509;110.8400169
Kelontong;;Pasar Kliwon;Kampung Sewu;Lain-lain;-7.5711844;110.843269
Wedangan Pak Amin;;Jebres;Jl Pratanggapati 29;Kuliner;-7.561774;110.8400194
Monkstore;;Pasar Kliwon;Tegalrejo;Lain-lain;-7.5620724;110.8418355
Warung Es Teh Bu Yuni;;Jebres;Gulon;Kuliner;-7.5511477;110.8631429
Warung Mbak Maya;;Laweyan;Purwosari;Lain-lain;-7.5615547;110.799125
Es Batu Dan Lilin Bu Luluk;;Laweyan;Purwosari;Kuliner;-7.5612096;110.7996755
Warung Makan;;Banjarsari;Sumber;Kuliner;-7.5447749;110.8029506
Amalia Store;;Serengan ;Joyotakan;Lain-lain;-7.5929796;110.8255966
Daster Sambung Ibu Dan Gandul Shela;;Serengan ;Pringgolayan ;Fashion;-7.5817347;110.8105828
Daster Sambung Kain Perca;;Serengan ;Pringgolayan;Fashion;-7.5825573;110.8111634
Baju Dewasa Dan Anak;;Serengan ;Pringgolayan;Fashion;-7.5825041;110.8112148
Pawon Ganesha Mba Oni;;Jebres;Tegalharjo Rt 06/05 Jebres Surakarta ;Kuliner;-7.5586246;110.8330433
Warkop Pak Noor;;Laweyan;Panularan;Kuliner;-7.5746863;110.8063866
Warung Bu Semi;;Laweyan;Panularan;Lain-lain;-7.5746828;110.8063887
Warung Bu Lastri;;Banjarsari;Keprabon Lor;Lain-lain;-7.565990473821374;110.82598138600588
Warung Bu Sri;;Pasar Kliwon;Kusumodiningratan;Lain-lain;-7.565990473821374;110.82598138600588
Bengkel Motor Dan Sepeda Pak Karnen;;Jebres;Tegalharjo Rt 06/05 Jebres Surakarta;Lain-lain;-7.5576465;110.8329204
Jhon Colecction;;Pasar Kliwon;Kusumodiningratan;Lain-lain;-7.565025307521824;110.82357879728079
Aneka Gorengan Mba Dita;;Pasar Kliwon;Kusumodiningratan;Kuliner;-7.5754887;110.8243272
Penthol Kuah Pak Heri;;Pasar Kliwon;Jl Kh Akhmad Dahlan;Kuliner;-7.5754887;110.8243272
Warmindo;;Pasar Kliwon;Jl Kh Khmad Dahlan;Kuliner;-7.5754887;110.8243272
Viola Laundry;;Jebres;Jl.Damar,Kepatihan Wetan;Lain-lain;-7.5647801;110.8333111
Warung Ndeso;;Jebres;Ngoresan;Kuliner;-7.5552829;110.8623137
Warung Sate Kambing Pak Min;;Pasar Kliwon;Sangkrah;Kuliner;-7.5793665;110.8380815
Soto Ayam;;Laweyan;Jajar;Kuliner;-7.5546706;110.7848508
Warung Sederhana Bu Siti;;Jebres;Tegalharjo Rt 06/05 Jebres Surakarta ;Lain-lain;-7.5587246;110.8335265
Warung Kelontong Ibu Juli;;Jebres;Tegalharjo Rt 06/05 Jebres, Surakarta ;Lain-lain;-7.5587169;110.8335236
Warung Kelontong Perico Budi Purwanto;;Jebres;Tegalharjo Rt 06/05 Jebres, Surakarta ;Lain-lain;-7.5589406;110.8332252
Navila Fashion Store;;Pasar Kliwon;Mojo;Fashion;-7.5860775;110.8312683
Toko Mainan Nugroho;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5758301;110.8362543
Kue Koe;;Pasar Kliwon;Sangkrah;Kuliner;-7.577896;110.8380018
Jajanan Bu Nur;;Pasar Kliwon;Mojo;Kuliner;-7.5890781;110.8306282
Kusno Prayogo;;Jebres;Genengan Rt01/012;Lain-lain;-7.5430022;110.8338729
Toko Sumber Rejeki;;Banjarsari;Sumber Tapen;Lain-lain;-7.5509129;110.8097708
Mamik Karak;;Banjarsari;Sumber Tapen;Kuliner;-7.550973;110.8090664
Mami Friedchicken;;Banjarsari;Sumberbregan;Kuliner;-7.5502211;110.8044165
Laundry Iqbal;;Banjarsari;Sumber Tapen;Lain-lain;-7.55015;110.809204
Nuansa Korset;;Banjarsari;Sumber Tapen;Fashion;-7.5501266;110.8099267
Raja Gongso;;Banjarsari;Jl. Kahuripan ;Kuliner;-7.5490252;110.805438
Dynasty;;Banjarsari;Griya Purwantara D.22;Lain-lain;-7.5477313;110.8067229
Toko Bu Mardi;;Banjarsari;Sumber Tapen;Lain-lain;-7.5492359;110.8118835
Assyfa Wayang;;Banjarsari;Sumber;Seni Pertunjukan;-7.5499181;110.8088981
Gorengan Mbah Rabinem;;Banjarsari;Tempurejo;Kuliner;-7.5486475;110.8135621
Sembako Solo;;Banjarsari;Sumber Tapen;Lain-lain;-7.5486813;110.8134777
Lontong Bu Tunem;;Banjarsari;Tempurejo;Lain-lain;-7.5486339;110.8135583
Arjuna Laundry;;Banjarsari;Sumber;Lain-lain;-7.5480226;110.8047374
Pakan Ternak Berkah Jaya;;Banjarsari;Sumber Tapen;Lain-lain;-7.5493415;110.8109465
Pangkalan Lpg 3Kg Dwi Puji Astuti;;Banjarsari;Sumber;Lain-lain;-7.5509784;110.8077005
Bakso Bunuh Diri;;Jebres;Jl. Abdul Muis No. 104;Kuliner;-7.5606854;110.8295473
Liem Hing Sun;;Jebres;Purwopuran;Lain-lain;-7.5634182;110.8364791
Kios Sembako Mbak Ning;;Jebres;Kios Pasar Rejosari Blok E 18;Lain-lain;-7.5631799;110.8381353
Pangkalan Gas Kalidjo;;Jebres;Purwopuran;Lain-lain;-7.5638108;110.8366945
Karar Dewa Dewi;;Jebres;Purwopuran;Lain-lain;-7.5638076;110.8374564
Elias Online Shop;;Jebres;Purwopuran;Lain-lain;-7.5632333;110.837415
Toko Pakan Ternak Sari;;Jebres;Jln Sindutan ;Lain-lain;-7.5602834;110.8368052
Kios Sembako Agus Mulyanto;;Jebres;Jln Sindutan ;Lain-lain;-7.5634182;110.8364791
Toko Snack Jesika;;Jebres;Purwopuran;Kuliner;-7.5634182;110.8364791
Snack Marwanto Ratno;;Jebres;Purwopuran;Kuliner;-7.5634182;110.8364791
Catering Mbak Watik;;Jebres;Purwopuran;Kuliner;-7.5640016;110.8371448
Amelia Online Shop;;Jebres;Purwopuran;Lain-lain;-7.5613385;110.8366344
Kios Sembako Bu Sri Mariyati;;Jebres;Kios Pasar Rejosari Blok F 7;Lain-lain;-7.5631167;110.8382633
Intip Goreng Bu Harno;;Jebres;Purwopuran;Kuliner;-7.5634182;110.8364791
Kios Sembako Pak Waluyo;;Jebres;Kios Pasar Rejosari Blok F 6;Lain-lain;-7.5630293;110.8383531
Kios Sembako Bu Tentrem;;Jebres;Kios Pasar Rejosari Blok B 23;Lain-lain;-7.5631434;110.8382492
Kios Sembako Pak Kasto;;Jebres;Kios Pasar Rejosari Blok B 16;Lain-lain;-7.5631956;110.8381982
Kios Sembako Bu Purwani;;Jebres;Kios Pasar Rejosari Blok B17;Lain-lain;-7.5631952;110.8381982
Kios Sembako Bu Suhartini;;Jebres;Kios Pasar Rejosari Blok B 14;Lain-lain;-7.5630401;110.8382916
Wawan Online Shop;;Jebres;Purwopuran;Lain-lain;-7.5632133;110.8372833
Kios Beras Adi;;Jebres;Kampung Purwopuran;Lain-lain;-7.5634182;110.8364791
Toko Sembako Dwi Gunawan;;Jebres;Purwopuran;Lain-lain;-7.5642821;110.8376334
Kios Bumbu Dapur;;Jebres;Kios Pasar Rejosari Blok D 18;Lain-lain;-7.5628983;110.8382517
Sembako;;Jebres;Purwopuran;Lain-lain;-7.5632309;110.8374477
Snack Bu Siti;;Jebres;Purwopuran;Kuliner;-7.5634182;110.8364791
Kios Bumbu Dapur;;Jebres;Pasar Rejosari Blok E 09;Lain-lain;-7.5630333;110.8382683
Kios Sembako Kristin Wulansari;;Jebres;Kios Pasar Rejosari Blok D 9;Lain-lain;-7.5630883;110.838265
Kios Sayur Bu Tumiati;;Jebres;Kios Pasar Rejosari Blok Dd 10;Lain-lain;-7.5633533;110.8381389
Kios Sembako Sri Hastuti;;Jebres;Kios Pasar Rejosari Blok D 08;Lain-lain;-7.5630101;110.838295
Kios Sembako Sri Ngatini;;Jebres;Kios Pasar Rejosari Blok E 7;Lain-lain;-7.5631266;110.8382567
Kios Beras Pak Marsih;;Jebres;Kios Pasar Rejosari Blok A 15;Lain-lain;-7.5629738;110.8382915
Kios Frozen Food;;Jebres;Kios Pasar Rejosari Blok C 14;Lain-lain;-7.5629819;110.8383217
Kios Plastik;;Jebres;Kios Pasar Rejosari Blok A 01;Lain-lain;-7.5629817;110.8383217
Kios Beras Mbak Linda;;Jebres;Kios Pasar Rejosari Blok A 20;Lain-lain;-7.563078;110.8382936
Kios Sembako;;Jebres;Kios Pasar Rejosari Blok A 04;Lain-lain;-7.5629388;110.8383464
Kios Makanan;;Jebres;Kios Pasar Rejosari Blok A 7;Kuliner;-7.5630949;110.8382584
Kios Sembako;;Jebres;Kios Pasar Rejosari Blok A 9;Lain-lain;-7.5629717;110.8383033
Kios Sembako;;Jebres;Kios Pasar Rejosari Blok B 06;Lain-lain;-7.5629833;110.838275
Kios Bumbu;;Jebres;Kios Pasar Rejosari Blok B 07;Lain-lain;-7.56299;110.8383183
Kios Sembako;;Jebres;Kios Pasar Rejosari Blok B 12;Lain-lain;-7.5629723;110.8383207
Kios Gula Dan Garam;;Jebres;Kios Pasar Rejosari Blok B 9;Lain-lain;-7.5629825;110.8383115
Kios Sembako;;Jebres;Kios Pasar Rejosari Blok B 10;Lain-lain;-7.5629917;110.83832
Kios Sembako;;Jebres;Kios Pasar Rejosari Blok B 22;Lain-lain;-7.5629267;110.8383667
Kios Kacang;;Jebres;Pasar Rejosari Blok F 3;Lain-lain;-7.5632651;110.8382281
Kios Plastik;;Jebres;Pasar Rejosari Blok A 13;Lain-lain;-7.5628803;110.8383155
Kios Sayur Segar;;Jebres;Kios Pasar Rejosari Blok Dd 06;Lain-lain;-7.5629667;110.83829
Kios Sayuran Segar;;Jebres;Pasar Rejosari Blok Dd 01;Lain-lain;-7.56294;110.83835
Kios Mainan Dan Aksesoris;;Jebres;Kios Pasar Rejosari Blok Cc 14;Lain-lain;-7.5628871;110.838383
Bu Siti Collection;;Banjarsari;Jl Banda, Keprabon Wetan;Fashion;-7.570025935692239;110.82529474049807
Warung Bensin Dan Pulsa Edy;;Banjarsari;Jl Banda, Keprabon Wetan;Lain-lain;-7.570025935692239;110.82529474049807
Kame Craftwork Shop;;Serengan ;Jl. Yos Sudarso 363;Kriya;-7.5873016;110.8185657
Tenongan Bu Siti;;Banjarsari;Keprabon Wetan;Kuliner;-7.570025935692239;110.82529474049807
Grosir Dan Eceran Alat Pertukangan Dan Pertanian;;Serengan ;Notodiningratan;Lain-lain;-7.5721339;110.820089
Ayam Goreng Kremes Sor Pelem;;Serengan ;Singosaren;Kuliner;-7.5718352;110.8207999
Pelangi Jus;;Laweyan;Penumping;Kuliner;-7.5671445;110.8068541
Wedangan Pak Madi;;Serengan ;Jl. Langendriyan;Kuliner;-7.5727045;110.8192016
Warung Bu Wiji;;Serengan ;Jl Diponegoro;Lain-lain;-7.5685359;110.8225741
Warung Kelontong Pak Tarmin/Ibu Iin;;Jebres;Tegalharjo Rt 06/05 Jebres, Surakarta;Lain-lain;-7.5593741;110.8342439
Snack Bu Yani;;Jebres;Posanan Rt.01 Rw.06, Tegalharjo, Jebres, Surakarta ;Kuliner;-7.5578144;110.8328571
Pakan Burung Ecko Mechanik;;Serengan ;Jl. Dr. Rajiman;Lain-lain;-7.5730917;110.8175138
Toko Yuni;;Serengan ;Jalan Gambir Anom No. 12;Lain-lain;-7.5717857;110.8175881
Warung Pak Dhe Kidi;;Pasar Kliwon;Kusumodiningratan;Lain-lain;-7.566118098955535;110.82537654787303
Warung Sembako Mbak Ebeb;;Serengan ;Jalan Lawung;Lain-lain;-7.5721121;110.820078
Nasi Bandeng Bu Sri;;Pasar Kliwon;Kusumodiningratan;Kuliner;-7.566001441607819;110.82641255110502
Dapoer Banda Doea;;Banjarsari;Keprabon Wetan;Kuliner;-7.5685472;110.8225725
Daster Sambung Trias;;Serengan ;Pringgolayan ;Fashion;-7.582569;110.8111712
