Nama;Kegiatan;Kecamatan;Alamat;kategori;lat;lng;;
Penjahit Ria;;Serengan ;Makam Bergolo;Fashion;-7.5835409;110.8135319;;
Online Shop Ghalion Original;saputrabayu797@gmail.com;Jebres;Tegalharjo Rt 06/05 Jebres Surakarta ;Digital;-7.5582623;110.8332276;;
Katering Danu;srimulyadi678@gmail.com;Banjarsari;Jl. Mayang Sari 2 ;Digital;-7.5864439;110.8217699;;
Warung Witanto;waginten055@gmail.com;Pasar Kliwon;Sewu Rt 02 Rw 06;Lain-lain;-7.5715619;110.84381;;
Prasetya Adi;;Jebres;Kedung Tungkul Rt 01 Rw 07;Lain-lain;-7.5535665;110.8429675;;
Penjahit Dan Permak Jeans Pak Topo;;Jebres;Kedung Tungkul Rt 05 Rw 07 ;Fashion;-7.5520482;110.8438525;;
Bengkel Jujuk;jujuk181@gmail.com;Pasar Kliwon;Sewu Rt 02 Rw 06;Lain-lain;-7.5715664;110.8438221;;
Bengkel Dhedy;;Jebres;Kedung Tungkul Rt 05 Rw 7;Lain-lain;-7.5522013;110.8441154;;
Warung Tahu Kupat Dan Soto;;Serengan ;Kios Pigura Teposanan;Kuliner;-7.5688254;110.8149192;;
Warung Sembako Mbah Maridjan;;Laweyan;Jl Seruni 2 No 1;Lain-lain;-7.56143;110.8099059;;
Djack;dwilistiono74@gmail.com;Pasar Kliwon;Kampungbaru ;Lain-lain;-7.5705062;110.8277352;;
Warung Makan;;Jebres;Gandekan;Kuliner;-7.5718017;110.8388467;;
Penjahit;;Jebres;Gandekan;Fashion;-7.5718496;110.8385542;;
Ayam Geprek;afthafskywalker@gmail.com;Jebres;Gandekan;Kuliner;-7.5717131;110.8385227;;
Serabi Sorogenen;yoohanafi@gmail.com;Jebres;Jl.Ir Juanda,Purwodinningratan Surakarta;Kuliner;-7.5696303;110.8395495;;
Laundry;;Laweyan;Karangasem;Lain-lain;-7.5725706;110.8395362;;
Warung Es Mbak Yanti;alwihanafi65@gmail.com;Laweyan;Karangasem;Kuliner;-7.5730751;110.8391566;;
Ceker Huhah;tyadestyana12@gmail.com;Jebres;Butuh Rt 06 Rw03 Gandekan Jebres Surakarta;Kuliner;-7.572695;110.8394555;;
Toko Kelontong;;Serengan ;Joyotakan;Lain-lain;-7.5902311;110.8187032;;
Catering;;Jebres;Butuh;Kuliner;-7.5743177;110.8400986;;
Srambi Mas Joko;;Serengan ;Jo Wahid Hasim No 4 Joyotakan;Lain-lain;-7.593151;110.8213132;;
"Warung Bakmi Jowo & Nasi Goreng ""Petruk""";;Banjarsari;Jl. Samudera Pasai Combong;Kuliner;-7.5404409;110.8125692;;
Saung Laundry;arsyasamudra4@gmail.com;Banjarsari;Krembyongan Kadipiro Surakarta;Lain-lain;-7.5363443;110.811337;;
Wedangan Mbak Dina;dinairianti1@gmail.com;Serengan ;Singosaren;Kuliner;-7.5724054;110.820272;;
Warung Mbak Firda;;Serengan ;Jl. Bedoyo;Lain-lain;-7.5712438;110.8211235;;
Gethuk Pak Slamet;;Serengan ;Serengan;Kuliner;-7.583525;110.8144396;;
Rd Laundry;;Serengan ;Serengan;Lain-lain;-7.5837418;110.8142069;;
Cita Rasa;dpotcitarasa.solo@gmail.com;Serengan ;Jl. Yos Sudarso No. 299 Sirakarta;Kuliner;-7.5831255;110.8201926;;
Klinik Kesehatan;;Serengan ;Jl Brigen Sudiarto 196;Lain-lain;-7.5937414;110.821841;;
Warung Sembako Dan Gas;;Serengan ;Joyotakan;Lain-lain;-7.5901321;110.8187208;;
Konter;;Serengan ;Jl Rebab No 8;Digital;-7.5930926;110.8210145;;
Warung Makan;;Serengan ;Joyotakan;Kuliner;-7.5930835;110.8208997;;
Jual Beli Bengkel;;Serengan ;Jl Rebab No 4;Lain-lain;-7.5930812;110.8210738;;
Warung Serba Ada;;Serengan ;Joyotakan;Lain-lain;-7.5932703;110.8208888;;
Bengkel Sepeda Motor;;Serengan ;Jl Berigen Sudiarto No 180;Lain-lain;-7.5921669;110.8226278;;
Meubel;;Serengan ;Jl Rebab Joyotakan ;Kriya;-7.592374;110.8178103;;
Warung Mbk Wina;;Pasar Kliwon;Kedung Lumbu;Lain-lain;-7.5744928;110.8306868;;
Mentari Reklame;;Serengan ;Jl.Kalilarangan;Desain;-7.5730913;110.8166001;;
Warung Pak Sumarno;;Serengan ;Kartopuran;Lain-lain;-7.5749141;110.8185671;;
Jualan Aneka Es;puspitaw214@gmail.com;Jebres;Posanan Rt01/06;Kuliner;-7.5579967;110.8329198;;
Warung Sembako;solododik@gmail.com;Jebres;Posanan Rt01/06 Jebres Surakarta;Lain-lain;-7.5580101;110.8329286;;
Pakaian Dalam Bu Yayuk;rahmadirahma69@gmail.com;Jebres;Posanan Rt.01 Rw.06,Tegalharjo,Jebres,Surakarta;Fashion;-7.5578489;110.8322101;;
"Jahitan Macam""";mayorbob995@gmail.com;Jebres;Posanan Rt 01/06 Jebres Surakarta ;Fashion;-7.5585461;110.8340768;;
Warung Makan Mba Dwi;dwilestha35@gmail.com;Jebres;Tegalharjo Rt 06/05;Kuliner;-7.5581634;110.832999;;
Warung Makan Sego Pecel Pak Di;;Banjarsari;Timuran ;Kuliner;-7.5675493;110.817597;;
Warung Soto & Kare;;Jebres;Jln Suyo No 44 ;Kuliner;-7.5648822;110.8376513;;
"Snack "" Bu Semi """;;Pasar Kliwon;Jalan Lumbung Wetan;Kuliner;-7.5811934;110.8276614;;
Warung Bakso Beranak Barokah Mulyo;;Jebres;Jln Prof Wz Yohanes Depan Stasiun Jebres ;Kuliner;-7.5624083;110.8389524;;
Rj Berkah;riniw5659@gmail.com;Jebres;"Jl. Malabar Dalam Iii No. 6 Rt 01 Rw 17
Mojosongo Jebres Surakarta";Lain-lain;-7.5385289;110.8380957;;
Kedai Es Dan Gorengan Mbak Okky;okky.yuniaskita95@gmail.com;Banjarsari;Jl. Kahuripan ;Kuliner;-7.5492424;110.8055304;;
Warung Sayur Mbak Aris;arissurakarta12@gmail.com;Banjarsari;Sumber;Lain-lain;-7.549436;110.8061076;;
Warung Kelontong Mbak Diah;diahanggraini121895@gmail.com;Banjarsari;Sumber;Lain-lain;-7.5500639;110.809478;;
Blacksrabi Tombz;darsonouye46@gmail.com;Banjarsari;Sumber;Kuliner;-7.5495029;110.8040671;;
Es Cuple Kepanjen;;Jebres;Kepanjen ;Kuliner;-7.5692686;110.8346181;;
Warung Es Lili;;Jebres;Kepanjen;Kuliner;-7.5693163;110.8346985;;
"Warung ""Jus Balap""";mardinalistanto@gmail.com;Banjarsari;Jl.Hasanudin No.133,Srambatan, Punggawan, Banjarsari, Surakarta ;Kuliner;-7.5583789;110.8203783;;
Mbahe Kitchen;anikmbak93@gmail.com;Jebres;Tegalharjo Rt.03 Rw.05, Tegalharjo, Jebres, Surakarta ;Kuliner;-7.5612574;110.8326719;;
Warung Makan Raja Kepiting;28eviernawati@gmail.com;Jebres;Tegalharjo Rt.03 Rw.05, Tegalharjo, Jebres, Surakarta ;Kuliner;-7.5612347;110.8326908;;
Warung Makan Bu Tri Wahyuni;;Jebres;Tegalharjo Rt.03 Rw.04, Tegalharjo, Jebres, Surakarta ;Kuliner;-7.5612814;110.8326676;;
Timbangan Pak Mul;;Jebres;Tegalharjo Rt.03 Rw.04, Tegalharjo, Jebres, Surakarta ;Lain-lain;-7.561488;110.8326747;;
Handicraf;;Banjarsari;Jl Sumatra 3;Kriya;-7.5649583;110.8201518;;
Warung Nasi;;Banjarsari;Jl Rm Said 35;Kuliner;-7.5646648;110.822022;;
Kedai Makanan;;Banjarsari;Jl Jageran;Kuliner;-7.565521;110.8212487;;
Toko Alat Listrik;ratnasuryanti57@gmail.com;Laweyan;Jajar;Lain-lain;-7.5563511;110.7866032;;
Penjahit Syam;;Laweyan;Jajar;Fashion;-7.5490469;110.7916488;;
Warung Makan Penyetan Barokah;adreng6w67@gmail.com;Laweyan;Jajar;Kuliner;-7.5508712;110.7910722;;
Warung Makan;;Laweyan;Jajar;Kuliner;-7.5503645;110.7893755;;
Warung Es Ramadhani;jenglot.gbt@yahoo.com;Laweyan;Jajar;Kuliner;-7.5503708;110.7893864;;
Bengkel Las Hs;bsumantri1978@gmail.com;Laweyan;Jajar;Lain-lain;-7.5545276;110.784239;;
Wedangan Babe;;Laweyan;Jajar;Kuliner;-7.555226;110.7835;;
Warung Klontong;;Laweyan;Jajar;Lain-lain;-7.5549457;110.7836387;;
Warung Makan;;Laweyan;Jajar ;Kuliner;-7.5521164;110.7891147;;
Warung Juice Buah;hertandyoko58@gmail.com;Laweyan;Jajar ;Kuliner;-7.5489403;110.7887801;;
Salon Kecantikan;yuliapramod@gmail.com;Laweyan;Jajar ;Lain-lain;-7.5540626;110.7833481;;
Wiyati Karak;;Pasar Kliwon;Sewu;Kuliner;-7.5714462;110.8409764;;
Supriyadi Buah;puspita.xap37@gmail.com;Pasar Kliwon;Sewu;Lain-lain;-7.5714791;110.8409762;;
Siti Amini Daging Ayam;sitisurakarta402@gmail.com;Pasar Kliwon;Sewu;Lain-lain;-7.5715031;110.8409827;;
Sularto Sayuran;dwia4432@gmail.com;Pasar Kliwon;Sewu;Lain-lain;-7.5714472;110.8410041;;
Citra Rasa Apem Sewu;;Pasar Kliwon;Sewu;Kuliner;-7.5735319;110.8449165;;
Benk Benk Sablon;benkbenksablon@gmail.com;Pasar Kliwon;Sewu;Digital;-7.5737457;110.8446688;;
Kios Sembako Bu Surati;surati57@gmail.com;Banjarsari;Pasar Nusukan;Lain-lain;-7.547555916666660;110.82120513888800;;
Toko Beras Pak Sam;;Banjarsari;Pasarnusukan;Lain-lain;-7.547677027777770;110.82118225;;
Mie Ayam Sardi;tobilharyanto@gmail.com;Jebres;Genengan;Kuliner;-7.5438546;110.8348176;;
Jualan Es Coklat;marsyabtm@gmail.com;Pasar Kliwon;Iroranan ;Kuliner;-7.5896358;110.8282433;;
Warung Makan Blangkemen;;Pasar Kliwon;Wirengan Rt 003 Rw 005 Baluwarti Pasar Kliwon Surakarta ;Kuliner;-7.5791593;110.8248654;;
Usaha Finishing Mbak Dewi;;Pasar Kliwon;Mojo;Lain-lain;-7.5936335;110.8319219;;
Pembuatan Kerajinan Kayu Dan Tembaga;;Pasar Kliwon;Mojo;Kriya;-7.5936099;110.8318892;;
Penjahit Mbak Kunti;;Pasar Kliwon;Mojo;Fashion;-7.5936151;110.8317193;;
Warung Es Bu Sarniati;;Pasar Kliwon;Mojo;Kuliner;-7.59366;110.831575;;
Bengkel Kentheng Pak Slamet;;Pasar Kliwon;Mojo;Lain-lain;-7.5939312;110.8318933;;
Usaha Pembuatan Blangkon Mas Hermawan;;Pasar Kliwon;Mojo;Fashion;-7.5939224;110.8316882;;
Usaha Bengkel Mas Hartono;;Pasar Kliwon;Mojo;Lain-lain;-7.5912176;110.830265;;
Toko Kelontong Bu Parti;;Pasar Kliwon;Mojo;Lain-lain;-7.5939534;110.8318692;;
Usaha Pakaian Jadi Pak Paimin;;Pasar Kliwon;Mojo;Fashion;-7.5934184;110.8334005;;
Usaha Areng Pak Suroto;;Pasar Kliwon;Mojo;Lain-lain;-7.5911037;110.8306411;;
Usaha Mebel Kayu Leluhur;;Pasar Kliwon;Mojo;Kriya;-7.5910176;110.8307535;;
Usaha Kayu Pak Jafar;;Pasar Kliwon;Mojo;Kriya;-7.5910461;110.8308129;;
Es Degan Mbak Ciik;;Pasar Kliwon;Mojo;Kuliner;-7.5910721;110.8306851;;
Pawone Mae Spesial Ayam Bebek Goreng;;Pasar Kliwon;Mojo;Kuliner;-7.5910838;110.8307587;;
Usaha Jual Beli Compresor Pak Sholeh;;Pasar Kliwon;Mojo;Lain-lain;-7.5895547;110.8316362;;
Soto Seger Daging Sapi Larasati;;Pasar Kliwon;Mojo;Kuliner;-7.5865068;110.8341875;;
Warung Nur;;Laweyan;Jln Melon Raya Ii No 2 ;Lain-lain;-7.5480367;110.7770746;;
Laundry;giyarsi539@gmail.com;Jebres;Kebonan;Lain-lain;-7.5710755;110.8362787;;
Jajanan Es Dan Tempura Dian;;Pasar Kliwon;Mojo;Kuliner;-7.5873762;110.8333048;;
Warung Es Bu Ngesti;;Pasar Kliwon;Mojo;Kuliner;-7.5872766;110.8330826;;
Burger, Kebab, Pentol Mas Erwan;;Pasar Kliwon;Mojo;Kuliner;-7.5882177;110.8340197;;
Wedangan Alit;;Pasar Kliwon;Mojo;Kuliner;-7.5880897;110.8338647;;
Toko Pancing Ndelik Sampangan;;Pasar Kliwon;Mojo;Lain-lain;-7.5880897;110.8338647;;
Wedangan Pak Mujiono;;Pasar Kliwon;Mojo;Kuliner;-7.5880843;110.8338429;;
Warung Makan Bu Dal;;Jebres;Ngampon;Kuliner;-7.5450738;110.8369719;;
Wedangan Mbak Nana (Latar Omah);;Banjarsari;Bibis Baru;Kuliner;-7.5515658;110.8342231;;
Celana Kolor Al Hanif;;Jebres;Pucangsawit;Fashion;-7.5653031;110.8535711;;
Kelapa Muda Nurhayati;;Jebres;Pucangsawit;Lain-lain;-7.564648;110.8538282;;
Warung Makan Bu Siti;;Pasar Kliwon;Mojo;Kuliner;-7.5911865;110.8310879;;
Isi Ulang Air Lawu;;Pasar Kliwon;Mojo;Lain-lain;-7.5911865;110.8310879;;
Vaya Collection & Susu Segar Lumeber;;Pasar Kliwon;Mojo;Kuliner;-7.5911006;110.8310132;;
Sita Kelontong;shytasellia28@gmail.com;Jebres;Genengan;Lain-lain;-7.5431645;110.835129;;
Jual Beras Pak Suwiyono;waryyanti1981@gmail.com;Jebres;Pucangsawit;Lain-lain;-7.5675192;110.8536977;;
Pakaian Anak Rina Dewi;verinade94@gmail.com;Jebres;Pucangsawit;Fashion;-7.567358;110.85319;;
Warung Kelontong;;Serengan ;Danukusumam;Lain-lain;-7.586388888888880;110.82277777777700;;
Penjahit Busana Wanita;;Serengan ;Danukusumam;Fashion;-7.586388888888880;110.82305555555500;;
D'Taste Solo (Rasa Solo);dtastesolo12@gmail.com;Serengan ;Dawung Wetan Rt 01 Rw 15;Kuliner;-7.5894597;110.8202074;;
Aditya'S Blangkon;;Serengan ;Kratonan ;Fashion;-7.5808166;110.8186196;;
Agen Bus Pak Rony;;Serengan ;"Jalan Veteran
Kratonan";Lain-lain;-7.5816106;110.8184754;;
Warung Bu Yuliati;;Serengan ;Kratonan ;Lain-lain;-7.5806729;110.8197435;;
Pelukis Pak Heru;;Serengan ;Kratonan ;Seni Pertunjukan;-7.5808911;110.8195953;;
Warung Bu Yuni;;Serengan ;Kratonan ;Lain-lain;-7.5810321;110.8190749;;
Kedai Makanan Mbak Harti;;Serengan ;Kratonan;Kuliner;-7.5808934;110.8195962;;
Warung Makan Sekar Tanjung;;Jebres;Gendingan;Kuliner;-7.5633751;110.8555305;;
Gorengan Mas Bro;;Serengan ;Kartotiyasan;Kuliner;-7.5784656;110.8183582;;
Sosis Bu Yuni;;Serengan ;Kratonan;Kuliner;-7.5810162;110.8190732;;
Penjahit Ramini;;Pasar Kliwon;Mojo;Fashion;-7.5911022;110.8310124;;
Nasgor Cak Arif;;Laweyan;Jajar;Kuliner;-7.5561177;110.7851559;;
Nasi Goreng Pak Tri;SINGHAREDJO@gmail.com;Laweyan;Jl Anggur 1 No. 10;Kuliner;-7.5572696;110.7885829;;
Loundry Maryati;;Laweyan;Jl Anggur Vii No 34;Lain-lain;-7.5572602;110.7869431;;
Wedangan;;Laweyan;Jl. Anggur Vii;Kuliner;-7.5572612;110.7869418;;
Warung Sayur Bu Par;;Laweyan;Jl Anggur Vii;Lain-lain;-7.5572542;110.7869535;;
Mie Ayam Ayu;Dindaayu729@gmail.com;Laweyan;Jl Anggur;Kuliner;-7.5574418;110.787591;;
Asih Loundry;;Laweyan;Jl Anggur Vi No. 29;Lain-lain;-7.5573811;110.7877479;;
57 Stationery;joshika.arvy@gmail.com;Laweyan;Jl Anggur Vi;Lain-lain;-7.5572973;110.7877407;;
Toko Bu Djum;diyahsetyaningrum79@gmail.com;Laweyan;Jl Anggur Vi No 35A;Lain-lain;-7.557426;110.7877512;;
Toko Marsono;Karni5841@gmail.com;Laweyan;Jl Anggur Vii;Lain-lain;-7.5572623;110.7875735;;
Warung Gado-Gado;tesyaasalsabila02@gmail.com;Laweyan;Penumping;Kuliner;-7.5746385;110.8063572;;
Es Teh Jumbo;idanurhidayati151@gmail.com;Laweyan;Penumping;Kuliner;-7.5746475;110.8063539;;
Ikan Marsono;trimofit@gmail.com;Laweyan;Panularan;Lain-lain;-7.4955595;110.8064753;;
R.M Barokah;dimasanomali93@gmail.com;Laweyan;Penumping;Kuliner;-7.4955774;110.8066567;;
Lotis Robani;robanirobani248@gmail.com;Laweyan;Penularan;Kuliner;-7.4955056;110.8066327;;
Salad Moi;qundarimurni@gmail.com;Laweyan;Penumping;Kuliner;-7.4956293;110.8064557;;
Teratai Laundry;marnaenysetyowati@gmail.com;Laweyan;Penumping;Lain-lain;-7.495595;110.8067969;;
Latengan Suwarti;caturagussaputra@gmail.com;Laweyan;Penumping;Kuliner;-7.4956057;110.8122649;;
Wedang Bu Sri;putriariani609@gmail.com;Laweyan;Penumping;Kuliner;-7.4955376;110.8065475;;
Salon Win;;Laweyan;Karangasem;Lain-lain;-7.556807;110.782836;;
Gado Gado Lotek Bu Endra;amelianindra04@gmail.com;Laweyan;Karangasem;Kuliner;-7.554956194444440;110.78129197222200;;
Spesial Penyet Mbak Woro;;Laweyan;Karangasem;Kuliner;-7.5544;110.77896666666600;;
Ayam Kremes Bang Arif;prakosoarief534@gmail.com;Laweyan;Karangasem;Kuliner;-7.5544;110.77896666666600;;
Rumah Jait Kiana;febrie215@gmail.com;Laweyan;Karangasem;Fashion;-7.556807;110.782836;;
Pangkalan Lpg 3Kg Yeni Sri Rejeki;;Laweyan;Karangasem;Lain-lain;-7.556807;110.782836;;
Penjahit;suginemsri22@gmail.com;Jebres;Kebonan;Fashion;-7.5716216;110.836729;;
Usaha Katering Fawwas;aniscantik116@gmail.com;Banjarsari;Jl Madyotaman 1 No 19 Punggawan Banjarsari Surakarta;Kuliner;-7.5594694;110.8184105;;
Jasa Laundry Mom;suryonosuminah@gmail.com;Banjarsari;Jl Hasanudin 117 Punggawan Banjarsari Surakarta;Lain-lain;-7.5578436;110.8189596;;
Penjual Serabi Miroso;geika32@gmail.com;Banjarsari;Jl Hasanudin 119 Punggawan Banjarsari Surakarta;Kuliner;-7.5581043;110.818892;;
Warung Timlo Mb Ana;;Pasar Kliwon;Semanggi;Kuliner;-7.5824733;110.8368683;;
Warung Bakmi Pak Jangkung;;Pasar Kliwon;Semanggi;Kuliner;-7.5825522;110.8369908;;
Usaha Warung Makan Bu Sumiyati;SoniPramana779@gmail.com;Banjarsari;Jl. Hasanudin No 119 Punggawan Banjarsari Surakarta;Kuliner;-7.5577835;110.8195672;;
Penjahit Sarmi;lestarisarmi501@gmail.com;Pasar Kliwon;Semanggi;Fashion;-7.5817489;110.8350762;;
Asfilaa Store;aliirham13@gmail.com;Pasar Kliwon;Semanggi;Lain-lain;-7.5813817;110.8353258;;
Toko Pakaian Mbak Giyanti;giyanti.rizal78@gmail.com;Pasar Kliwon;Semanggi;Fashion;-7.580946;110.8347377;;
Sasya Soflens;;Pasar Kliwon;Semanggi;Lain-lain;-7.5831569;110.8362834;;
Warung Kelontong Nani;;Pasar Kliwon;Semanggi;Lain-lain;-7.5828877;110.837134;;
Kios Telur Bu Muniyati;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5468422;110.8209425;;
Sansan Glasses Online;;Jebres;Jl. Dempo Utara No 3 Rt 02 Rw 14 Mojosongo Jebres Surakarta ;Lain-lain;-7.5354167;110.835465;;
Toko Pakaian Wigati;;Banjarsari;Jl. Kapten Piere Tendean No.87B, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Fashion;-7.5464503;110.8210293;;
Jual Lumut;;Pasar Kliwon;Semanggi;Lain-lain;-7.5832633;110.8369691;;
Pangkalan Lpg Bu Sri;;Pasar Kliwon;Mojo;Lain-lain;-7.5911264;110.8309138;;
Warung Sayur Bumbon Pak Suwiyono;;Pasar Kliwon;Mojo;Lain-lain;-7.5907823;110.8305764;;
Warung Sayur Bumbon Bu Saminten (Pasar Krempyeng)¹;;Pasar Kliwon;Mojo;Lain-lain;-7.5907643;110.8305783;;
Sosis Risol Mayo Bu Martini;;Pasar Kliwon;Mojo;Kuliner;-7.5922548;110.8299376;;
Usaha Seblak Mie Maklor Bola Bola & Cilok Sambel Kacang;;Pasar Kliwon;Mojo;Kuliner;-7.5914684;110.8296124;;
Mie Ayam Pak Paiman;;Pasar Kliwon;Mojo;Kuliner;-7.5914853;110.8296482;;
Wedangan Mas Klowor;;Pasar Kliwon;Mojo;Kuliner;-7.5911402;110.8285183;;
Bakso Bu Ngadinem;;Pasar Kliwon;Mojo;Kuliner;-7.5907652;110.828492;;
Bakso Pak Legimin;;Pasar Kliwon;Mojo;Kuliner;-7.5908708;110.8285557;;
Handmade Tidi Kaos;;Pasar Kliwon;Mojo;Kriya;-7.5918526;110.8277721;;
Kios Sayuran Pak Larto;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5471711388888800;110.82100675;;
Toko Kelontong Mbak Sinta;sintaayu14@gmail.com;Banjarsari;Pasar Nusukan;Lain-lain;-7.5481953;110.8212055;;
Kios Sembako Dan Sayuran Bu Tutik;tutikmaryamti01@gmail.com;Banjarsari;Pasar Nusukan;Lain-lain;-7.5466316;110.8213308;;
Toko Sayur Sunarni (Lt2,C71);;Banjarsari;Pasar Nusukan;Lain-lain;-7.5471613;110.8210353;;
Toko Sayur Bu Mukinem;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5471746;110.821045;;
Toko Sayur Bu Supadmi (Lt2, C69A);;Banjarsari;Pasar Nusukan;Lain-lain;-7.5471349;110.8210208;;
Kios Sayuran Bu Sri;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5472869722222200;110.82138822222200;;
Kios Sembako Bu Murmini;murmini73@gmail.com;Banjarsari;Pasar Nusukan;Lain-lain;-7.546893111111110;110.82167052777700;;
Kios Sembako Bu Yami;yami82@gmail.com;Banjarsari;Pasar Nusukan;Lain-lain;-7.546856861111110;110.82164763888800;;
Toko Kelontong Bu Dalinem;delinem3112@gmail.com;Banjarsari;Pasar Nusukan;Lain-lain;-7.547555916666660;110.82120513888800;;
Toko Sembako Bu Sri;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5469373;110.821003;;
Warung Makan Bu Surati;menjual nasi sayur dan lauk;Laweyan;Sriwedari;Kuliner;-7.5697248;110.81177479972200;;
Toko Kelontong Arina;menjual bahan makanan dan rokok tembakau;Pasar Kliwon;Tegal Rejo;Lain-lain;-7.5616167;110.8410083;;
Rica Isi Bu Sartini;menjual makanan dan minuman;Jebres;Kentingan Kulon;Kuliner;-7.5575990555555500;110.85089111111100;;
Telur Asin Dt;membuat telur asin dan dijual secara grosir;Pasar Kliwon;Tegal Rejo;Kuliner;-7.5611598;110.8396877;;
Duta Jebres;menjual kardus makanan,plastik dan kertas;Pasar Kliwon;Tegal Rejo;Kuliner;-7.5621761;110.8418819;;
Al Barn Pigura;Membuat dan menjual pigura lukisan / foto;Laweyan;Kios Pujasari Jl.Museum;Kriya;-7.5684701;110.8150453;;
Pandu Pigura;membuat dan menjual pigura lukisan / foto;Laweyan;Kios Pujasari Jl.Museum;Kriya;-7.5685649;110.8149311;;
Cecilia Galeri Pigura;membuat dan menjual lukisan;Laweyan;Kios Pujasari Jl.Museum;Kriya;-7.5688625;110.8148545;;
Bikin Totebag;CELANA PENDEK , TAS;Banjarsari;Nay U Utara;Fashion;-7.544133166666660;110.82788083333300;;
Warung Makan Sederhana;warung makan soto ,mie ketoprak;Pasar Kliwon;Jln Sasonomulyo Rt04 Rw 01;Kuliner;-7.5768581;110.8253908;;
Warung Mie Goreng Mbak Anik;pengolahan dan penjualan bakmi;Pasar Kliwon;Semanggi;Kuliner;-7.5867167;110.839285;;
Toko Kelontong Kana Ii;Menjual barang-barang kebutuhan bahan2 pokok Sembako.;Banjarsari;Jl Kana Ii No 20 A;Lain-lain;-7.5598528;110.8091026;;
Warung Ayam Goreng Dan Panggang, Kremes Barokah;menerima pesanan ayam goreng dan bakar di rumah;Jebres;Kepunton Rt 07 Rw 03 Tegalharjo, Jebres, Surakarta;Kuliner;-7.5611983;110.8363997;;
Warung Makan Sederhana;Menjual makanan matang siap saji.;Banjarsari;Jl Yosodipuro No 162 ;Kuliner;-7.5604382;110.808137;;
Warung Pak Mahmudi;Menjual Bahan Kebutuhan Pokok di Rumah;Pasar Kliwon;Mangkuyudan;Lain-lain;-7.5685266;110.8040689;;
Arbm Fixed;menerima jasa servis hp dan komputer di rumah;Jebres;Kepunton Rt 07 Rw 03 Tegalharjo Jebres Surakarta;Digital;-7.5603768;110.8362606;;
Warung Mami;Menjual barang kelontong di rumah;Pasar Kliwon;Jalan Satrio Wibowo Mangkuyudan;Lain-lain;-7.5662705;110.8047947;;
Sidoel Bekleding;menjual jasa jahit;Laweyan;Panularan;Fashion;-7.5747637;110.8068194;;
Toko Bu Nasir;menjual KELONTONG;Pasar Kliwon;Kampung Sewu;Kuliner;-7.572341;110.8457769;;
Putra Putri Tailor;menjahit pakaian dirumah;Pasar Kliwon;Semanggi;Fashion;-7.585462555555550;110.83798216666600;;
Warung Bakmi Mbak Tini;mengolah dan menjual bakmi;Pasar Kliwon;Semanggi;Kuliner;-7.586273694444440;110.83873747222200;;
Vitri Satlechock;produksi dan penjualan satle chok;Pasar Kliwon;Semanggi;Lain-lain;-7.585446777777770;110.8375015;;
Catering Mamah Genuk;menerima pesanan makanan nasi box dan snack di rumah;Jebres;Kepunton Rt 07 Rw 03 Tegalharjo Jebres Surakarta;Kuliner;-7.5613531;110.835527;;
Lento Kacang Solo Bu Rujiati;Membuat/mengolah Lento kacang;Banjarsari;Sumber Nayu;Kuliner;-7.5441468;110.8258246;;
Agung Manson;membuat lukisan di segala media;Pasar Kliwon;Sangkrah;Kriya;-7.57956;110.8417507;;
Fresh Juice;menjual makanan dan minuman;Jebres;Ngasinan Rt 001 Rw 012;Kuliner;-7.5596718888888800;110.84954833333300;;
Laundry Fian;mencuci pakaian para pelanggan;Jebres;Ngasinan;Lain-lain;-7.5595886;110.8498009;;
Ayuk Fashion;Jualan online accessories fashion;Pasar Kliwon;Sangkrah ;Fashion;-7.5777167;110.8398566;;
Jajanan Anak-Anak;jajanan anak-anak;Banjarsari;Banyuanyar ;Kuliner;-7.5397054;110.8096856;;
Aulia'S Kitchen;Membuat aneka masakan, cream cheese, cireng, seblak, setup, donat glaze, dessert ;Pasar Kliwon;Sangkrah Rt 01 Rw 05, Pasar Kliwon, Surakarta ;Kuliner;-7.5745315;110.836441;;
Toko Bu Rakih;menjual sembako;Pasar Kliwon;Kedunglumbu ;Lain-lain;-7.5757451;110.8322137;;
Bengkel Reparasi Barang Antik;jasa perbaikan barang antik;Jebres;Jalan Biak 20;Lain-lain;-7.5626345;110.8319546;;
Raihan Warung;Menjual Aneka Nasi Sayur;Banjarsari;Jl. Ks Tubun;Kuliner;-7.5560988;110.8026254;;
Kenzhie Pigura;membuat dan menjual pigura lukisan / foto;Laweyan;Kios Pujasari Jl.Museum;Kriya;-7.5691181;110.8148105;;
Inoes Tailor;membuat baju atau pakaian sesuai pesanan;Jebres;Ngasinan;Fashion;-7.559749083333330;110.84896086111100;;
Warung Makan Sido Mampir;menjual makanan dan minuman;Jebres;Ngasinan;Kuliner;-7.559640861111110;110.84904477777700;;
Warung Es Dan Makanan Ringan;menjual minuman serbuk/ ice juice;Pasar Kliwon;Kampung Sewu;Kuliner;-7.573753299722220;110.84521499972200;;
