Nama;Kegiatan;Kecamatan;Alamat;kategori;lat;lng;;
Warung Makan Mawali;menyediakan makan dan minum;Banjarsari;Timuran;Kuliner;-7.5681585;110.817434;;
Sayuran Sumarni;menjual sayur;Laweyan;Penumping;Lain-lain;-7.4956968;110.8066156;;
Toko Kelontong Es;menjual kebutuhan rumah tangga dan rokok;Banjarsari;Timuran;Lain-lain;-7.5681114;110.8173464;;
Sayuran Bu Waginem;menjual sayuran;Laweyan;Penumping;Lain-lain;-7.4956165;110.8066109;;
Unik Apriyanti;toko sembako;Pasar Kliwon;Gabudan;Lain-lain;-7.5886822;110.827706;;
Ayam Geprek Aa Akrana - Arjuna;jual ayam geprek ;Jebres;Jln Prof Wz Yohanes Timur Stasiun Jebres;Kuliner;-7.5629539;110.8408429;;
Warung Es Kembar;olahan minuman ;Jebres;Jln Prof Wz Yohanes Barat Stasiun Jebres;Kuliner;-7.5628737;110.840789;;
Catering Agyanda;catering ;Jebres;Jln Prof Wz Yohanes 38 ( Timur Stasiun Jebres);Kuliner;-7.5628462;110.8407507;;
Ayam Geprek Mbak Eka;menjual Ayam geprek ;Jebres;Jln Prof Wz Yohanes 38 ( Timur Stasiun Jebres);Kuliner;-7.5628965;110.8408351;;
Warung Makan Berkah Bu Sarmi;Menjual nasi sayur dan lauk pauk dengan membuka warung makan di rumah;Jebres;Pucangsawit;Kuliner;-7.5382403;110.8299792;;
Intip Mbok Ginem;Memproduksi sendiri camilan intip dan menjualnya;Jebres;Pucangsawit;Kuliner;-7.5711054;110.8517092;;
Kedai Tempura Bu Sri Prihatin;Menjajakan makanan siap saji berupa tempura dengan menggelar lapak di depan rumah;Jebres;Pucangsawit;Kuliner;-7.5382423;110.8299753;;
Jual Blanket;menjual blanket percetakan;Banjarsari;Tapen;Digital;-7.5453742;110.812766;;
Warung Makan Pak Min;menjual nasi sayur dan aneka minuman dengan menu rumahan untuk mahasiswa;Jebres;Kaplingan;Kuliner;-7.5489797;110.8663281;;
Martabak Telur Mini Mas Bima;menjual martabak telur;Jebres;Gulon;Kuliner;-7.5499662;110.8648018;;
Takoyaki;menjual makanan takoyaki;Pasar Kliwon;Timuran Rt1 Rw5 Banjarsari Surakarta;Kuliner;-7.566045;110.8158384;;
Wedangan Mbahbro;menjual aneka makanan dan muniman;Serengan ;Griyan;Kuliner;-7.5617011;110.7890224;;
Sembako Bu Maryati;menjual kebutuhan sembako;Banjarsari;Mangkubumen Rt1 Rw7 Banjarsari;Lain-lain;-7.5583343;110.8144081;;
Karak Bu Ngatini;menjual karak nasi;Banjarsari;Tapen;Kuliner;-7.5454887;110.81271;;
Kios Pot Bunga Sehati;menjual perlengkapan tanaman ;Banjarsari;Mangkubumen Rt1 Rw7 Banjarsari Surakarta;Lain-lain;-7.558304;110.8145586;;
Kios Cemara;menjual makanan hewan burung, ikan, dan peralatan tanaman;Banjarsari;Mangkubumen Rt1 Rw7 Banjarsari;Lain-lain;-7.5580933;110.8185933;;
Toko Kelontong El;menjual beras, telur, gula;Banjarsari;Tapen;Lain-lain;-7.5453734;110.8127652;;
Kios Bu Mul;menjual keperluan tanaman;Banjarsari;Mangkubumen Rt1 Rw7 Banjarsari;Lain-lain;-7.5582051;110.8142888;;
Warung Kelontong Bapak Waluyo;menjual kebutuhan rumah tangga;Banjarsari;Mangkubumen Rt2 Rw2 Banjarsari;Lain-lain;-7.5555522;110.8174381;;
Gas Elpiji Bu Sukini;menjual gas elpiji 3 kg;Banjarsari;Tapen;Lain-lain;-7.5453867;110.8127626;;
Laundry Dania;jasa laundry;Banjarsari;Mangkubumen Rt1 Rw2 Banjarsari;Lain-lain;-7.5554209;110.8176576;;
Ayam Potong Mbak Ana;menjual daging ayam ras atau ayam potong;Jebres;Gulon;Lain-lain;-7.5499644;110.8648049;;
Es Batu Dania;menjual es batu plastikan es;Banjarsari;Mangkubumen Rt2 Rw2 Banjarsari;Kuliner;-7.5579738;110.8238131;;
Baju Ecer Bu Sri;menjual baju eceran;Banjarsari;Mangkubumen ;Fashion;-7.5552426;110.8171137;;
Laundry Pupy;jasa laundry pakaian;Banjarsari;Mangkubumen Rt4 Rw2;Lain-lain;-7.5565262;110.8173886;;
Jahit Pak Wahyono;melayani jasa jahit;Banjarsari;Tapen;Fashion;-7.5454788;110.8127532;;
Gorengan Bu Indah;menjual sosis dan martabak;Banjarsari;Tapen;Kuliner;-7.5453192;110.8120408;;
Pedagang Karak;berjualan aneka karak;Jebres;Pasar Gede Surakarta ;Kuliner;-7.5694558;110.8319036;;
Pedagang Sayur Bu Sum;berjualan sayuran;Jebres;Pasar Gede Surakarta ;Lain-lain;-7.5694343;110.8318969;;
Wedangan Kokom;menjual aneka gorengan dan minuman;Jebres;Pucangsawit ;Kuliner;-7.5651617;110.8537169;;
Nona Kitchen;menerima pesanan snack kotak;Banjarsari;Mangkubumen Rt4 Rw2 Banjarsari;Kuliner;-7.5562756;110.8172006;;
Jual Macam-Macam Jenis Pot Bu Harno;menjual pot bunga;Banjarsari;Mangkubumen Rt1 Rw7;Lain-lain;-7.5581313;110.814781;;
Juru Pijat Tunanetra;jasa pijat;Banjarsari;Mangkubumen Rt2 Rw2 Mangkubumen;Lain-lain;-7.555553;110.8174374;;
Es Degan Cumut;menjual es degan;Banjarsari;Mangkubumen Rt2 Rw1 Banjarsari;Kuliner;-7.5527677;110.8134103;;
Wedangan Akbar;menjual nasi sayur;Jebres;Pucangsawit;Kuliner;-7.5650847;110.853662;;
Warung Makan Pk Mul;menyajikan makan dan minum;Banjarsari;Timuran ;Kuliner;-7.5682427;110.8181118;;
Depot Air Minum Isi Ulang;air isi ulang;Jebres;Pucangsawit;Lain-lain;-7.5695545;110.8566158;;
Peyek Mbak Sum;bikin peyek kacang danteri;Jebres;Pucangsawit;Kuliner;-7.5703167;110.85686;;
Mokle Cell;menjual pulsa dan kartu perdana;Serengan ;Griyan;Digital;-7.5639574;110.7869336;;
Wedangan Widodo;menjual nasi sayur;Jebres;Pucangsawit;Kuliner;-7.5698217;110.8573117;;
Wm Pak Yono;menjual nasi sayur;Jebres;Pucangsawit;Kuliner;-7.5686958;110.8565724;;
Sembako Bu Sutarti;menjual kebutuhan sehari hari;Pasar Kliwon;Gurawan;Lain-lain;-7.583724572171224;110.82645509349997;;
Toko Kelontong Bu Sunarmi;MENJUAL KEBUTUHAN SEHARI;Laweyan;Karangasem;Lain-lain;-7.5561366;110.7820641;;
Wedangan Omah Tuwo;menjual makanan matangan;Laweyan;Karamgasem;Kuliner;-7.5557495;110.7813904;;
Pedagang Sayuran;berjualan sayuran;Jebres;Pasar Gede Surakarta ;Lain-lain;-7.5694472;110.8319302;;
Toko Kelontong Mbak In;menjual kebutuhan sehari hari;Laweyan;Karangasem;Lain-lain;-7.5504818;110.7823653;;
Laundry Berkah;MENCUCI PAKAIAN ( LAUNDRY );Laweyan;Karangasem;Lain-lain;-7.552047;110.7809286;;
Mie Ayam Sukidi;menjual mie ayam;Serengan ;Griyan;Kuliner;-7.561976;110.7884397;;
Menjahit;jasa menjahit berbagai macam baju dan celana di rumah;Pasar Kliwon;Sangkrah;Fashion;-7.5784532;110.8405253;;
Kelapa Parut Bu Indah;Menjual Kelapa Parut;Banjarsari;Pasar Nusukan;Lain-lain;-7.5481953;110.8212055;;
Toko Sembako Bu Wiratmi;Menjual bahan pokok;Banjarsari;Pasar Nusukan;Lain-lain;-7.5471894;110.8210373;;
Kios Sembako Pak Sutrisno;Menjual bahan pokok;Banjarsari;Pasar Nusukan;Lain-lain;-7.548194861111111;110.82120513888889;;
Kios Bumbu Pak Mujianto;Toko Bumbu;Banjarsari;;Lain-lain;-7.5472012;110.8210572;;
Anindya Laundry;;Banjarsari;Bibis Baru;Lain-lain;-7.5534578;110.8338748;;
Kue Basah Bu Sulastri;;Banjarsari;Bibis Baru;Kuliner;-7.55303;110.834415;;
Warung Makan Bu Ismi;;Jebres;"Pasar Gede Lantai 2 
Sudiroprajan
Jebres";Kuliner;-7.5691531;110.8321453;;
Warung Makan Mbak Dani;;Jebres;"Pasar Gede Lantai 2 
Sudiroprajan
Jebres ";Kuliner;-7.568844;110.8320145;;
Los Kompyang Dan Pia Pia Bu Endang;;Jebres;"Pasar Gede Lantai 2 
Sudiroprajan
Jebres ";Kuliner;-7.5694404;110.8319774;;
Los Daging Sapi Bu Suparti;;Jebres;"Pasar Gede Lantai 2 
Sudiroprajan
Jebres ";Kuliner;-7.5694232;110.8319879;;
Kios Sayuran;;Serengan ;Kios Pasar Harjodaksino;Lain-lain;-7.583735;110.82046508333333;;
Kios Mangga;;Serengan ;Kios Pasar Harjodaksino;Lain-lain;-7.583395944444445;110.82045744444444;;
;;Serengan ;Kios Pasar Harjodaksino;Desain;-7.584019194444444;110.81993102777778;;
Kios Makanan;;Serengan ;Kios Pasar Harjodaksino;Kuliner;-7.584021111111111;110.81993102777778;;
Kios Makanan;;Serengan ;Kios Pasar Harjodaksino;Kuliner;-7.583991027777778;110.81995391666666;;
Kios Kacang;;Serengan ;Kios Pasar Harjodaksino;Lain-lain;-7.584009166666666;110.8199005;;
Kios Makanan;;Serengan ;Kios Pasar Harjodaksino;Kuliner;-7.584033;110.81990813888889;;
Kios Buah Siti Handayani;;Serengan ;Kios Pasar Harjodaksino;Lain-lain;-7.584021111111111;110.81993102777778;;
Jual Minuman Dingin;;Laweyan;Jl. Adi Sucipto;Kuliner;-7.5533367;110.7961967;;
Kedai Minum Bagus;;Laweyan;Panularan;Kuliner;-7.5724005;110.8148544;;
Sembako Pak Jenggot;;Laweyan;Panularan;Lain-lain;-7.5723699;110.8147939;;
Klepon Mnsz;;Serengan ;Kemasan;Kuliner;-7.5813535;110.8179514;;
Fairus Art;;Pasar Kliwon;Gang Joyosudiran;Kriya;-7.5870687;110.8269797;;
Warung Soto Jumbo Rustini;;Jebres;Pucangsawit;Kuliner;-7.568085222222222;110.85848997222222;;
Batikita;;Banjarsari;Krajan;Fashion;-7.5431930000000005;110.8421515;;
Soto Mbak Kris;;Banjarsari;Krajan;Kuliner;-7.5431930000000005;110.8421515;;
Batik Saseti;;Banjarsari;Jl Srigunting V No 2;Fashion;-7.5600101;110.7933445;;
Marsha Collection;;Banjarsari;Jalan Hasanudin No 04;Fashion;-7.5651399;110.7859807;;
Kedai Makanan Dan Minuman;;Serengan ;Jl.Ponconoko 3 Rt4 Rw 1 Nirbitan, Tipes, Serengan, Solo;Kuliner;-7.5769307;110.8130161;;
Ndonk Store;;Jebres;Tegalarum;Lain-lain;-7.5398217;110.8393232;;
Doeloer Cendol;;Jebres;Perumahan Villa Bukit Cemara;Kuliner;-7.550654400000001;110.8435227;;
Warung Gorengan;;Pasar Kliwon;Sangkrah ;Kuliner;-7.5768813;110.8393124;;
Chick-O Katsu Gunting;;Laweyan;Jl Adisucipto Kerten;Kuliner;-7.5533368;110.7961971;;
Warung Kelontong Mbah Man;;Laweyan;Jl. Pisang No 8;Lain-lain;-7.5565335;110.7917914;;
Daster Perca;;Serengan ;Tipes;Fashion;-7.5801456;110.8079505;;
Bj. Gas;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5768866;110.8391702;;
Pedagang Arang;;Pasar Kliwon;Sangkrah;Lain-lain;-7.5768783;110.8391749;;
Warung Soto Daging Sapi Pak Is;;Jebres;Jl. Juanda No. 267, Pucangsawit;Kuliner;-7.568962083333333;110.85301969444444;;
Jual Buah Buahan;;Laweyan;Jl  Mundu Raya Kerten;Lain-lain;-7.552488;110.7949444;;
Penjahit Bu Wiji;;Banjarsari;Margorejo;Fashion;-7.5569752;110.8264451;;
Prima Loundry;;Serengan ;Tipes ;Lain-lain;-7.5801458;110.8079505;;
Stasiun Es;;Laweyan;Kerten;Kuliner;-7.5532771;110.7961744;;
Nasi Kuning Supatni;;Pasar Kliwon;Mojo;Kuliner;-7.5900829;110.835494;;
Pedagang Bakso;;Pasar Kliwon;Sangkrah;Kuliner;-7.5768941;110.8391613;;
Toko Sembako Ria Yes You;;Banjarsari;Bibis Kulon;Lain-lain;-7.5557072;110.8312166;;
Warung Es Dan Jajanan Snack;;Banjarsari;Bibis Kulon;Kuliner;-7.5561449;110.830983;;
Warung Makan Mb Yayuk;;Banjarsari;Bibis Kulon;Kuliner;-7.556371;110.8309672;;
Kios Penggilingan Daging Bu Helen;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5468355;110.8215668;;
Warung Mb Yuli;;Banjarsari;Bibis Kulon ;Kuliner;-7.5557075;110.8319416;;
Warung Surahmi;;Jebres;Gendingan;Kuliner;-7.5630008;110.8570833;;
Kios Makanan;;Serengan ;Kios Pasar Harjodaksino;Kuliner;-7.584020083333334;110.8199233888889;;
Kost Batu Alam;;Jebres;Gendingan;Lain-lain;-7.5629544;110.8571224;;
Bakso Tahu Goreng Marheni;;Jebres;Jl.Ki Hajar Dewantoro;Kuliner;-7.5571762;110.851257;;
Sedotan;;Banjarsari;Bibis Kulon;Lain-lain;-7.5569969;110.8319137;;
Warung Kelontong;;Banjarsari;Bibis Kulon;Lain-lain;-7.5566486;110.8316572;;
Kelontong Bu Nur;;Banjarsari;Bibis Kulon;Lain-lain;-7.5563364;110.8309986;;
Kelontong Ana;;Banjarsari;Bibis Kulon;Lain-lain;-7.5566625;110.8309131;;
Kelontong Bu Retno;;Banjarsari;Bibis Kulon;Lain-lain;-7.5570666;110.8313824;;
Bumbu Pawon;;Laweyan;Penumping;Lain-lain;-7.569505;110.8070183;;
Warung Makan Campur;;Laweyan;Penumping;Kuliner;-7.56944;110.8076783;;
Wedangan Bu Sriyati;;Banjarsari;"Timur Monumen 45
Jl. M. Saleh Werdisastro
Setabelan
Banjarsari 
Surakarta";Kuliner;-7.5613293;110.827351;;
Warung Kelontong Bu Handayani;;Banjarsari;Bibis  Kulon;Lain-lain;-7.55726;110.83185;;
Sate Pak Arif;;Laweyan;Penumping;Kuliner;-7.5695261;110.8077673;;
Naai Goreng Pak Usman;;Jebres;Rejosari Rt04 Rw14;Kuliner;-7.5563867;110.829555;;
Bakso Berkah;;Laweyan;Penumping;Kuliner;-7.5695208;110.8077037;;
Gado Gado Bu Yuli;;Laweyan;Penumping;Kuliner;-7.5695781;110.8076301;;
Nasi Gudeg Anisa;;Laweyan;Panularan;Kuliner;-7.5726822;110.8150042;;
Warung Makan Ceria;;Banjarsari;"Jl. Bali
Monumen 45 Banjarsari
Setabelan";Kuliner;-7.5611293;110.8267875;;
Toko Sayur Bu Suminah;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5468404;110.8209638;;
Bakso Goreng Pak Broto;;Pasar Kliwon;Mojo;Kuliner;-7.5899311;110.8357727;;
Aneka Gorengan Yayuk;;Pasar Kliwon;Mojo;Kuliner;-7.5899201;110.8357621;;
Usaha Janggelut Maria;;Pasar Kliwon;Mojo;Kuliner;-7.5899013;110.8357413;;
Warung Sayur Bu Sumarti;;Pasar Kliwon;Mojo;Lain-lain;-7.5899396;110.8357795;;
Pembuatan Celengan Mbak Ummu;;Pasar Kliwon;Mojo;Kriya;-7.5899181;110.8357604;;
Jualan Es Mbak Etik;;Pasar Kliwon;Mojo;Kuliner;-7.589925;110.83573333333334;;
Susu Segar Kembar Jaya;;Pasar Kliwon;Mojo;Kuliner;-7.589905555555555;110.83573888888888;;
Jual Es Polar Mbak Tri;;Pasar Kliwon;Mojo;Kuliner;-7.5904;110.83508055555555;;
Kedai Es Pak Slamet;;Pasar Kliwon;Mojo;Kuliner;-7.5904;110.83508055555555;;
Penjahit Bu Sri;;Pasar Kliwon;Mojo;Fashion;-7.590547222222222;110.83522222222223;;
Toko Kelontong Mbak Wiji;;Pasar Kliwon;Mojo;Lain-lain;-7.590538888888889;110.83576944444444;;
Cilor Maklor Bu Supriyatni;;Pasar Kliwon;Mojo;Kuliner;-7.59055;110.83569722222222;;
Penjahit Mbak Atik;;Pasar Kliwon;Mojo;Fashion;-7.5899;110.83573055555556;;
Aqila Olshop Bu Heni;;Pasar Kliwon;Mojo;Lain-lain;-7.589905555555555;110.83572777777778;;
Toko Kelontong Bu Mulyaningsih;;Pasar Kliwon;Mojo;Lain-lain;-7.589905555555555;110.83572777777778;;
Warung Es Mbak Ita;;Pasar Kliwon;Mojo;Kuliner;-7.589905555555555;110.83572777777778;;
Mie Ayam Bakso Soto Bang Dzul( Notoharjo);;Pasar Kliwon;Mojo;Kuliner;-7.5895849;110.8381886;;
Aneka Es Dan Gorengan Mbak Kharisma;;Pasar Kliwon;Mojo;Kuliner;-7.5899175;110.8316126;;
Bakso Bakar & Goreng Damai;;Banjarsari;"Timur Smp Kristen 1 Surakarta
Jl. D. I. Panjaitan 
Setabelan
Surakarta";Kuliner;-7.5595497;110.8284553;;
Pedagang Jamu;;Pasar Kliwon;Sangkrah;Kuliner;-7.5768695;110.8393582;;
Purnama Juice;;Pasar Kliwon;Sangkrah;Kuliner;-7.5767185;110.8387835;;
Kios Stainless Tri Astuti (Pasar Besi);;Pasar Kliwon;Mojo;Lain-lain;-7.5886006;110.8360643;;
Blue Clean Laundry;;Banjarsari;"Jl. M. Saleh. Werdisadtro
Setabelan Banjarsari
Surakarta";Lain-lain;-7.5616632;110.8271396;;
Kios Besi Margini (Pasar Besi);;Pasar Kliwon;Mojo;Lain-lain;-7.5889049;110.836424;;
Warung Mami Santi;;Banjarsari;"Jl. Bali
Monumen 45 Banjarsari
Setabelan
Banjarsari
Surakarta";Kuliner;-7.5609286;110.8271111;;
Wedangan Mbak Yatmi;;Banjarsari;"Jl. Subekti Pusponoto
Monumen 45 Banjarsari
Setabelan
Surakarta";Kuliner;-7.559709;110.8274446;;
Pengrajin Boneka;;Pasar Kliwon;Sangkrah;Kriya;-7.5767369;110.8391659;;
Kios Bak Diah (Pasar Besi);;Pasar Kliwon;Mojo;Lain-lain;-7.5886417;110.8355007;;
Toko Kelontong Pak Amad & Warung Makan Pak Amad;;Pasar Kliwon;Mojo;Kuliner;-7.5889091;110.8364196;;
Kedai Minuman Diah (Pasar Besi);;Pasar Kliwon;Mojo;Kuliner;-7.588434;110.8351686;;
Warung Makan Sri Lestari (Pasar Besi);;Pasar Kliwon;Mojo;Kuliner;-7.588678;110.8356238;;
Kedai Es Degan Mas Agung;;Jebres;Pasar Pucangsawit;Kuliner;-7.568147138888889;110.85826872222222;;
Warung Es Degan Mbah Tri Suyati;;Jebres;Pucangsawit;Kuliner;-7.568164805555556;110.85852811111111;;
Kios Suwarno Sugiyanti (Pasar Besi);;Pasar Kliwon;Mojo;Lain-lain;-7.5887159;110.8359329;;
Gorengan Berkah Bu Sumirah;;Jebres;Rejosari ;Kuliner;-7.5628324;110.840707;;
Daster Kain Perca;;Serengan ;Tipes ;Fashion;-7.5801459;110.8079501;;
Sri Maryani;;Banjarsari;Tempurejo;Lain-lain;-7.5479252;110.8125316;;
Los Kue Basah Bu Harni;;Jebres;"Pasar Gede Lantai 2
Sudiroprajan
Jebres";Kuliner;-7.5695627;110.8317712;;
Warung Makan Bu Ndari;;Jebres;"Pasar Gede Lantai 2
Sudiroprajan
Jebres";Kuliner;-7.5695448;110.8313941;;
Kios Besi Yayuk (Pasar Besi);;Pasar Kliwon;Mojo;Lain-lain;-7.5873578;110.8372241;;
Los Bunga Tabur Mbah Suminah;;Jebres;"Pasar Gede Lantai 2
Sudiroprajan
Jebres";Lain-lain;-7.5695938;110.8317164;;
Supplier Bunga Mbak Rani;;Jebres;"Pasar Gede Lantai 2 Rt 003 Rw 009
Sudiroprajan
Jebres";Lain-lain;-7.5696325;110.8315331;;
Grosir Buah Jarod;;Jebres;"Pasar Gede Lantai 2 Rt 003 Rw 009
Sudiroprajan
Jebres";Lain-lain;-7.5696016;110.8315306;;
Los Lurik Bu Sri;;Jebres;"Pasar Gede Lantai 2 Rt 003 Rw 009
Sudiroprajan
Jebres";Fashion;-7.5695026;110.8314684;;
Jual Beli Emas Bu Tatik;;Banjarsari;Jl.S.Parman;Lain-lain;-7.5628583;110.8239751;;
Warung Makan Bu Arnik (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Kuliner;-7.5884088;110.8346294;;
Wedangan Biru Bu Ari;;Jebres;Jl. Juanda, Pucangsawit;Kuliner;-7.569527166666667;110.850708;;
Warung Makan Triyanti (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Kuliner;-7.5885533;110.8350326;;
Kios Ayam Agus Dwi (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Lain-lain;-7.588456;110.8350068;;
Wedangan Bu Kartinem;;Jebres;Jl. Juanda, Pucangsawit;Kuliner;-7.5698699722222225;110.85033416666667;;
Kios Sayur Dan Bumbu Dapur Warsi;;Jebres;Pasar Pucangsawit;Lain-lain;-7.568041777777777;110.85836027777778;;
Toko Yono;;Serengan ;Tipes;Lain-lain;-7.5801469;110.8079507;;
Kios Potong Ayam Linda (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Lain-lain;-7.5884248;110.834575;;
Gembukan Pak Ibnu - Sarmi;;Jebres;Pucangsawit;Kuliner;-7.569721194444444;110.85675047222222;;
Kios Sembako;;Serengan ;Kios Pasar Harjodaksino;Lain-lain;-7.584152194444444;110.82037352777778;;
Kios Daun Singkong;;Serengan ;Kios Pasar Harjodaksino;Lain-lain;-7.584152194444444;110.82037352777778;;
Kios Sayuran;;Serengan ;Kios Pasar Harjodaksino;Lain-lain;-7.584152194444444;110.82037352777778;;
Ayam Lombok Ijo Jaya Kembali;;Serengan ;Jl. Pulanggeni No 36 Rt01/Rw07 Tipes Surakarta.;Kuliner;-7.5778115;110.8108187;;
Spesial Ayam Goreng Mardini;;Laweyan;Panularan;Kuliner;-7.5724244;110.8149081;;
Toko Kelontong Anik;;Laweyan;Panularan;Lain-lain;-7.5724337;110.8148892;;
Laundry Rahayu;;Laweyan;Panularan;Lain-lain;-7.5724364;110.8148933;;
Catering Bu Kemi;;Laweyan;Panularan;Kuliner;-7.5724375;110.8148931;;
Kios Ayam Bu Lami (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Lain-lain;-7.5884496;110.8350289;;
Warung Makan Bu Sukarti (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Kuliner;-7.5884573;110.8349871;;
Usaha Mentok Bu Surati (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Lain-lain;-7.5879346;110.8354095;;
Kurnia Salon;;Serengan ;Joyotakan;Lain-lain;-7.5923928;110.8182539;;
Biebie Roti;;Banjarsari;Cinderejo Lor;Kuliner;-7.556163199999999;110.8183572;;
Usaha Mentok Pak Agus (Pasar Ayam);;Pasar Kliwon;Mojo Pasar Ayam;Lain-lain;-7.5880236;110.8352327;;
Produksi Daster Perca;;Serengan ;Tipes;Fashion;-7.5801461;110.8079503;;
Warung Kelontong Bu Suryanah;;Pasar Kliwon;Mojo;Lain-lain;-7.5876988;110.835487;;
Jasa Potong Dan Jahit Pakaian Wanita;;Serengan ;Tipes ;Fashion;-7.58015;110.8079504;;
Dipaloka Solo;;Jebres;Kandang Sapi;Kuliner;-7.5558323;110.8401949;;
Toko Roti Hartanti;;Laweyan;Panularan;Kuliner;-7.5739334;110.8146419;;
Warung Makan Nurul;;Laweyan;Panularan ;Kuliner;-7.5739374;110.8146463;;
Mie Ayam Lumayan;;Pasar Kliwon;Sangkrah;Kuliner;-7.5771146;110.839571;;
Kios Bu Ani;;Jebres;Pasar Mojosongo;Lain-lain;-7.5533615;110.8409093;;
Kios Sembako Lestari Pojok;;Jebres;Pasar Mojosongo;Lain-lain;-7.5536822;110.8394593;;
Angkringan Ing Teras;;Jebres;Gulon;Kuliner;-7.5505719;110.8669815;;
Warung Kelontong Pak Giman;;Banjarsari;Sumber;Lain-lain;-7.5482253;110.8133275;;
Salon Mita;;Jebres;Purwopuran ;Lain-lain;-7.5635165;110.8371099;;
Karak Valentin;;Jebres;Purwopuran ;Kuliner;-7.5633198;110.8372132;;
Catering Prima;;Jebres;Purwopuran ;Kuliner;-7.563217;110.8369779;;
Online Sprei;;Pasar Kliwon;Sangksh;Lain-lain;-7.5770755;110.8395979;;
Penjahit Konveksi;;Pasar Kliwon;Sangkrah;Fashion;-7.5773078;110.8395831;;
Sriyani Penjahit;;Serengan ;Nirbitan, Tipes, Serengan;Fashion;-7.5775591;110.8141451;;
Jamu Bu Yatmi;;Jebres;Rejosari Rt5 Rw14;Kuliner;-7.55617;110.8301517;;
Mebel Mutiara;;Banjarsari;"Kompleks Pasar Mebel Darurat
Setabelan 
Banjarsari
Surakarta";Kriya;-7.5620953;110.8278793;;
Jamu Bu Sikem;;Jebres;Rejosari Rt5 Rw13;Kuliner;-7.5562983;110.82826;;
Wedangan Nenek Cinca;;Banjarsari;"Depan Kantor Bps Surakarta
Jl. Lumban Tobing
Setabelan";Kuliner;-7.5622552;110.8267799;;
Jono Mebel;;Banjarsari;"Kompleks Pasar Mebel Darurat
Timur Taman Setabelan
Setabelan 
Banjarsari";Kriya;-7.56227;110.8287186;;
Zona Copy Center Dan Digital Printing;;Serengan ;Jl Veteran 79D ,Tipes;Digital;-7.5801501;110.8079498;;
Kost Putri Asri;;Jebres;Kepatihqn Kulon;Lain-lain;-7.5599076;110.8299636;;
Kost Bu Astuti, Kost Rosa;;Jebres;Kepatihan Kulon;Lain-lain;-7.5627679;110.8306535;;
Warung Kelontong Romli;;Banjarsari;"Utara Gereja Bethany Pasar Legi
Jl. Lumban Tobing
Setabelan";Lain-lain;-7.5620568;110.8251616;;
Bu Yatmi Arang;;Banjarsari;"Utara Gereja Bethany Pasar Legi
Jl. Lumban Tobing
Setabelan
Surakarta";Lain-lain;-7.562054;110.8251626;;
Bagas Bagus Kost & Kost Jaga Raga;;Jebres;Kepatihan Kulon;Lain-lain;-7.5633478;110.8293822;;
Vidya Olshop & Les Privat Mbk Suwanti;;Pasar Kliwon;Mojo;Lain-lain;-7.588202777777778;110.83797222222222;;
Warung Gado2 & Minuman Bu Sunarwi;;Jebres;Rejosari ( Utara Gereja Jawa Gandekan Timur ) ;Kuliner;-7.5636486;110.8397688;;
Warung Makan Bu Tarmi;;Pasar Kliwon;Kampung Sewu;Kuliner;-7.5731216;110.8448698;;
Aneka Cilok Tempura Priangan;;Pasar Kliwon;Mojo;Kuliner;-7.563336111111111;110.85572777777777;;
Jual Beli Emas Bu Sri;;Banjarsari;Kauman Pasar Legi;Lain-lain;-7.5630583;110.8238067;;
Laundry Angga;;Jebres;Sudiroprajan ;Lain-lain;-7.5678083;110.8357157;;
Warung Kelontong Bu Nur;;Jebres;Samaan;Lain-lain;-7.5687753;110.8358542;;
Warung Makan Mbak Yuyun;;Jebres;Samaan Rt 02 Rw 02;Kuliner;-7.5682668;110.8354407;;
Warung Nasi Kare Mbak;;Banjarsari;Jl.S.Parman;Kuliner;-7.5636698;110.8235165;;
Obras Popok Bayi Fiffa;;Jebres;Samaan;Lain-lain;-7.5609664;110.8366954;;
Kios Sayur Bu Farida;;Banjarsari;Pasar Nusukan;Lain-lain;-7.5472492;110.8216124;;
Vip Cell;;Serengan ;Joyotakan;Digital;-7.5924815;110.8188805;;
Wedangan Amido Mbak Desi;;Banjarsari;Ngebrusan ;Kuliner;-7.562325;110.8238517;;
Wedangan Pak Suharto;;Jebres;Jl.Monginsidi;Kuliner;-7.5581687;110.8211393;;
Kios Rokok Mbak Hartanti;;Banjarsari;Kauman Pasar Legi;Lain-lain;-7.56301;110.8237167;;
Ube Kids Shop;;Serengan ;Tipes;Lain-lain;-7.5774829;110.8102977;;
Tahu Gimbal Rahayu;;Serengan ;Tipes;Kuliner;-7.5775223;110.8102398;;
Kedai Makan Haifah;;Banjarsari;Bibis Kulon;Kuliner;-7.5557942;110.8315897;;
